<PAD>#####0
t#####1
h#####2
a#####3
'#####4
s#####5
o#####6
u#####7
f#####8
c#####9
n#####10
r#####11
l#####12
.#####13
i#####14
m#####15
e#####16
d#####17
w#####18
y#####19
k#####20
?#####21
g#####22
j#####23
-#####24
v#####25
b#####26
,#####27
x#####28
p#####29
;#####30
[#####31
]#####32
z#####33
q#####34
!#####35
"#####36
